type,country,2012/01,2012/02,2012/03,2012/04,2012/05,2012/06,2012/07,2012/08,2012/09,2012/10,2012/11,2012/12,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10
陽明山遊客中心,臺北市,12187,18612,18580,13329,14179,11397,16000,11791,10469,11515,6896,9631,18133,66380,28664,13106,14624,12856,14267,10917,8291,8156,7192,6792,30147,12587,10463,9435,7859,10190,11561,36528,9787,8593,8530,6505,10773,12587,10360,9315,8395,11833,11518,7228,11310,10575,11370,8977,12349,7941,10391,11667,12854,12468,11457,9562,7305,0,0,0,11835,14029,14400,18840,16300,13364,21623,22431,6780,0,0,0,18832,52386,16896,15409,17161,52793,15355,15512,13055,16738,18460,20950,16358,34154,19223,22918,18408,20368,20841,21888,13500,17686,16880,15873,18936,14591,12992,9603,10249,12303,13064,10650,9458,9071,8622,5340,9087,10321,9338,11290,4219,0,175,835,1201,1127
陽明書屋,臺北市,2597,3617,5221,4317,3497,2815,3005,2497,2764,3701,2863,2983,3010,3667,3804,3082,2826,2943,2817,2668,2550,3191,3748,2455,2446,3203,2991,3614,2675,2361,2858,2991,2680,3543,3170,2757,2811,4196,3157,3278,3230,7392,2343,1333,2378,3426,3529,2448,2846,3915,2524,3145,3615,2574,2766,2830,1639,2805,2832,2857,2834,3002,2910,3500,3002,2101,2654,2455,2272,3489,2490,2177,1616,2745,2811,13045,11270,10926,6813,6009,11634,9339,7987,9317,8761,12488,2415,11296,10862,10557,13671,11650,7134,9475,10703,8483,8983,9847,8295,5819,6886,8747,9086,7959,5855,6569,5888,5376,4434,5299,4925,6117,2403,0,426,1252,1304,1449
陽明公園,臺北市,161000,463000,705200,85600,38600,28000,51700,44700,39000,36000,35000,33000,114000,768000,582000,76000,35800,27500,44700,42500,38000,35000,32500,31000,98500,1023900,411400,78000,32800,25400,43200,41500,34200,33000,30500,29000,94000,922000,624200,76000,31000,21550,13090,5100,4390,8700,13040,19350,26250,663367,691332,25200,30750,24750,15400,9540,4940,4750,6513,4883,8490,569737,802012,35988,26671,23895,17950,15050,12850,9050,8270,8660,8750,247131,891890,26500,23500,24400,15700,16060,14010,7630,9940,9480,10340,362770,616450,35100,28300,26400,14400,13300,13500,9800,9400,9300,63502,182033,395529,17600,10400,20600,15600,17800,15420,7380,10070,8690,14994,609339,572943,12322,3022,18052,9750,14460,13520,6308
大屯遊憩區,臺北市,17047,29079,38558,34332,43906,42586,63721,41881,51743,38214,27467,27306,23629,41333,60660,30168,44126,122164,101522,100871,49849,47142,52135,22932,54121,54357,45513,55373,48226,66879,88481,101473,52891,43251,38686,18582,48282,38345,35079,51847,56146,83547,83321,43999,62871,52824,69359,41803,46979,67055,39456,78602,81236,99711,109117,85946,50983,73936,71715,61641,58882,40053,44729,85110,71767,43532,89058,77931,62141,36427,15855,31852,30588,52168,33536,47707,65776,83168,88858,89094,64101,65939,60155,45507,28853,76943,48256,58579,51847,45953,80894,53030,31455,47110,38052,7643,10671,34546,51122,41056,39395,53302,50177,49548,33624,34116,27592,21340,40652,31452,33538,40628,24208,2302,32925,33581,50740,36813
龍鳳谷遊憩區,臺北市,21201,22134,62447,64691,16243,15811,15787,16963,16176,18951,18136,19135,21683,38987,45769,66359,16353,20637,15077,19399,17461,18297,23211,17523,22199,24641,51141,101997,18584,17464,14582,18688,21145,23386,20045,20972,24821,31373,72394,123415,24013,20029,19881,15954,19603,21715,23252,21160,25045,35712,75162,108251,16529,12384,12809,14441,13501,17269,26449,34432,43762,32503,104623,119830,39363,18100,20722,23993,26402,30456,25771,29014,27405,45304,59814,160759,29675,23714,22649,22851,22109,21424,28537,33115,27659,53265,131849,133843,43516,82158,44290,41467,51423,33778,34252,36266,44468,35513,73930,41460,29453,28932,25854,28364,33624,45372,35417,32719,49719,48486,115274,120591,18098,2951,4898,18330,26895,38354
小油坑遊憩區,臺北市,20839,16853,24528,27840,18760,18184,25647,20332,22928,28958,19923,21417,19162,19997,38851,28281,24669,39041,26927,25852,22187,29937,31949,21653,27940,36535,35525,33152,29396,30995,31530,33416,26893,30320,28863,25745,35459,29038,30445,31767,29093,29671,33063,22694,29333,34418,32568,20433,23180,37529,22513,30685,32214,29445,35912,26917,17953,33792,35459,32085,29227,25194,28157,45649,30392,24862,32685,34051,32129,60580,25047,28657,25298,38515,43575,46086,48112,32134,40787,36922,27528,34442,38472,36223,28108,40606,39406,44955,37215,45312,37499,33254,30628,45888,42434,43712,38537,26902,24238,19678,32599,42561,40692,33943,22520,38685,33943,16916,32288,29753,29314,35451,14230,471,4088,10417,19098,22511
塔塔加遊憩區,南投縣,83806,59526,63451,71541,64384,19312,34755,17392,25217,39252,53688,50449,58010,102555,63474,65522,55806,47415,39634,41606,51046,56146,58063,50601,23433,45814,61971,56986,32070,37898,46162,55488,42999,61292,52062,46600,43433,61152,54853,57846,38945,49843,53847,49312,54671,58502,60641,48285,51240,61405,48557,56881,58233,65750,76204,72615,36008,56123,59461,85401,70775,58918,45162,54127,54432,27781,62427,58894,38800,59142,64086,80962,64502,33911,51136,56037,50017,40728,44841,42422,43306,42754,32886,39888,27352,34907,35222,35030,20767,34606,35373,22122,51528,70039,61916,48972,51931,46890,48327,47220,50851,78256,96966,68315,58332,79345,63976,60554,57816,68858,64606,64482,51361,14145,17509,28293,47107,66647
梅山遊客中心,高雄市,4846,1854,1190,1849,1092,0,0,0,6,651,27,19,1066,3507,956,985,852,1001,1066,521,315,710,654,1805,1569,3280,1943,1144,776,199,917,950,770,1430,1147,1497,4536,3085,1699,1627,944,1154,1254,1085,810,880,943,930,1427,1749,1536,1482,1248,812,856,1070,365,873,631,1333,5481,1543,1456,2077,2654,1498,972,1050,1420,1902,1978,1887,4997,5325,1456,1961,1339,987,1708,1174,981,1145,631,1331,4101,6642,2501,2095,1658,2087,1524,1441,1427,2640,2395,4980,9430,6852,7437,5076,2753,3334,4331,4255,2292,2292,3805,3426,4911,5625,3704,2839,2037,0,28,0,30,111
南安遊客中心,花蓮縣,37578,19373,21987,20037,18384,12088,24176,16894,23817,22601,23157,20602,22651,41887,22030,21543,20112,18750,16512,18696,19749,22069,20930,15400,16574,23480,22452,23126,19134,21589,26251,26660,21264,21805,21923,21418,17614,22011,17217,21547,16898,17834,19523,18528,19804,18796,17830,16046,16949,28533,16470,23519,20425,22722,28793,26931,18670,17613,19233,25012,24474,19951,13316,17971,20347,22216,29130,34188,22408,24273,21404,28013,22627,23265,23404,30310,23693,22302,28858,27862,23275,21618,23855,26657,21924,26010,26386,28353,24358,28632,34775,31287,28446,30436,25996,26551,30899,27033,27279,29949,31663,39123,40541,39847,32601,37335,28344,29379,29566,34530,26708,28022,25852,15083,22058,29543,32413,30016
玉山管理處遊客服務中心,南投縣,13262,9460,9322,10362,10233,10338,13533,10098,9042,9670,10719,16931,14978,9523,9128,9833,8567,10890,10853,11071,9828,12708,10034,12272,14730,9810,9243,9781,9228,9695,13358,12543,9284,11083,11351,10771,20934,10058,8206,8834,7389,11922,13691,10018,10799,8569,12703,9219,16377,10283,8499,8443,8130,9251,9472,10032,9181,7442,8533,17248,13886,9741,9308,7180,7726,7253,9666,6857,7173,7401,9040,7625,11857,8459,5983,8302,6585,6388,8756,8591,6803,6103,7703,2195,11190,11363,9086,8806,10814,9319,10718,9276,7502,9474,8179,9109,13130,6426,5554,5946,6291,8255,10560,14369,10399,15137,17943,13099,20647,12426,9732,11425,16145,0,122,1423,2624,4334
排雲山莊,南投縣,371,80,376,1476,1511,979,1868,643,1548,2128,2173,966,464,29,1232,1989,1514,3815,3133,2632,2903,3582,3803,2841,727,6,894,3668,3675,3378,3298,3979,3380,4172,4048,2571,1042,0,2667,3754,3888,4181,3390,3105,3893,4602,4299,3906,6,100,290,3077,4851,4625,2399,4700,3098,5717,4830,4577,1795,28,3301,5445,5900,3411,5128,5059,5063,6601,5805,4700,693,7,2912,5727,6222,5402,5837,5319,5457,6305,5404,5167,1987,3,3977,5544,5068,5870,5692,4385,6243,6903,6832,5620,2256,1090,3061,4707,4306,6707,6999,6828,6596,7631,7598,6497,3164,3574,5019,7271,3650,34,14,1420,2706,4269
汶水遊客中心,苗栗縣,21972,23322,10533,25229,32036,26862,29115,19416,18005,27981,39199,30317,20091,54228,63631,44743,79502,63388,68177,69312,67085,140744,113390,86738,40808,46690,59817,57547,68518,59175,40637,35452,43458,44007,41323,43394,48044,40057,42960,48055,52742,44247,43362,45071,48412,77505,50337,57194,39444,43343,32903,47530,53446,42616,36742,33644,38420,59108,49440,45484,43407,42835,43440,61049,46693,30082,40111,36919,35428,54187,57004,46791,43391,42462,52124,59436,59527,49527,58791,45285,51002,54135,46818,62591,41630,52851,64057,64401,70397,66579,57471,48540,60223,63614,62585,51766,50060,34119,28503,19101,23827,33066,53787,54054,48545,68680,58698,48419,52022,38030,38820,47764,23138,494,2713,7376,9341,21492
觀霧遊客中心,苗栗縣,5147,1954,1983,2239,4087,2289,15669,1143,4725,4598,4762,3977,2524,9039,5471,6330,5780,6051,4016,436,1783,3378,4940,4098,3661,8003,5087,5452,3337,6539,11260,16016,6779,13282,6229,6012,7745,13522,6186,8025,5659,5601,7720,5744,5048,7524,8122,6015,6292,8291,5565,7494,6928,9875,12810,12314,7352,10167,9168,11422,11219,9826,8361,8863,10558,5411,14784,14001,10075,11685,9994,9776,7922,8584,9767,12425,8392,9385,15272,15340,6045,9571,6846,9326,6609,9003,9913,10036,6713,10120,14214,12371,7838,11422,8014,7872,9837,5414,6333,3076,3931,10369,15185,13011,7987,14006,10060,8962,9824,11543,17105,10107,3741,0,880,5769,10071,9223
雪見遊憩區,苗栗縣,18647,10465,7592,9731,9615,4638,5304,1655,2220,3380,4492,2907,1755,12806,5842,4265,5731,9837,4956,0,0,0,0,4796,6602,11241,7971,8714,4443,9001,13805,11011,8372,12531,12931,8848,11895,13421,3722,7930,3903,14009,15405,5707,6767,11364,14613,9843,10646,12475,4604,9274,6249,10391,19010,11794,5858,16628,14140,12399,16885,6544,6119,11328,9183,5426,12981,13254,8593,12373,11230,7499,7130,10013,5305,8839,8011,10309,14833,16085,8944,16139,12203,11060,4581,11646,8526,7381,4895,8736,11881,9796,14292,15707,14056,8499,7984,8219,9200,7969,7923,12826,17422,17780,10035,17911,14685,9193,9703,9910,8451,10191,4939,0,2195,4003,7370,10548
武陵遊客中心,臺中市,22581,52952,20895,11503,9799,7707,24053,5444,7090,9280,20355,13979,16014,46340,19165,10691,7928,8966,17602,18843,8359,12813,18255,11618,14706,68008,15217,7597,7968,7743,16866,19268,7601,8544,16017,11543,16464,52456,10718,10664,5446,8480,15150,10200,8149,10717,5118,11840,10234,48093,20109,9482,7457,10900,21789,18539,7151,10937,12750,10249,9277,18909,6813,6040,4176,2611,8219,9737,8443,9433,7697,6613,8193,32714,17022,13069,6592,10459,17682,29461,9010,8454,12310,13419,11621,42651,20308,8462,4460,8350,16692,10251,8669,12231,14755,13008,13011,45724,11269,5860,5534,11305,21012,19722,10455,17134,16883,16641,13073,39125,18464,9471,3757,0,2241,6642,3772,10639
